0, 4ü444,563
 
9.112482190132141, 444,563
 
9.112482190132141, 444,562
 
9.137004971504211, 444,563
 
9.137004971504211, 444,563
 
19.13656997680664, 444,564
 
19.13656997680664, 444,563
 
29.136966705322266, 444,565
 
29.136966705322266, 444,563
 
39.13707733154297, 444,564
 
39.13707733154297, 444,565
 
49.137939453125, 444,564
 
49.137939453125, 444,564
 
59.138912200927734, 444,565
 
59.138912200927734, 444,565
 
69.14039993286133, 444,566
 
69.14039993286133, 444,566
 
79.14192199707031, 444,565
 
79.14192199707031, 444,565
 
89.1422348022461, 444,566
 
89.1422348022461, 444,566
 
99.14456176757812, 444,567
 
99.14456176757812, 444,566
 
109.14556884765625, 444,567
 
109.14556884765625, 444,567
 
119.14685821533203, 444,566
 
119.14685821533203, 444,566
 
129.14854431152344, 444,567
 
129.14854431152344, 444,566
 
139.15003967285156, 444,567
 
139.15003967285156, 444,567
 
149.1514434814453, 444,566
 
149.1514434814453, 444,567
 
159.152587890625, 444,566
 
159.152587890625, 444,567
 
169.15603637695312, 444,566
 
169.15603637695312, 444,567
 
179.156982421875, 444,566
 
179.156982421875, 444,565
 
189.15782165527344, 444,566
 
189.15782165527344, 444,566
 
-160.8392333984375, 444,567
 
-160.8392333984375, 444,567
 
-150.83749389648438, 444,566
 
-150.83749389648438, 444,567
 
-140.83612060546875, 444,568
 
-140.83612060546875, 444,567
 
-130.832763671875, 444,568
 
-130.832763671875, 444,567
 
-120.83030700683594, 444,568
 
-120.83030700683594, 444,567
 
-110.8263931274414, 444,568
 
-110.8263931274414, 444,567
 
-100.82167053222656, 444,568
 
-100.82167053222656, 444,567
 
-90.8165512084961, 444,568
 
-90.8165512084961, 444,567
 
-80.81265258789062, 444,568
 
-80.81265258789062, 444,567
 
-70.81044006347656, 444,568
 
-70.81044006347656, 444,567
 
-60.805946350097656, 444,568
 
-60.805946350097656, 444,567
 
-50.80252456665039, 444,568
 
-50.80252456665039, 444,567
 
-40.79641342163086, 444,568
 
-40.79641342163086, 444,567
 
-30.792118072509766, 444,568
 
-30.792118072509766, 444,567
 
-20.78470230102539, 444,568
 
-20.78470230102539, 444,568
 
-10.779108047485352, 444,567
 
